obs_ID,study_ID,es,var
obs001,63,0.436,0.036
obs002,63,0.224,0.1
obs003,7,0.489,0.048
obs004,23,-0.308,0.05
obs005,23,0.267,0.031
obs006,23,-0.031,0.024
obs007,40,0.1,0.019
obs008,42,-0.536,0.059
obs009,46,0.182,0.017
obs010,52,1.053,0.026
obs011,91,-0.098,0.25
obs012,67,0.648,1
obs013,67,0.11,0.143
obs014,67,0.523,0.111
obs015,67,0.758,0.1
obs016,67,0.354,0.091
obs017,67,-0.332,0.083
obs018,67,-0.151,0.077
obs019,67,0.255,0.067
obs020,67,0.131,0.056
obs021,67,0.412,0.04
obs022,67,0.141,0.029
obs023,67,0.497,0.029
obs024,67,0.536,0.024
obs025,67,0.46,0.009
obs026,61,0.565,0.01
obs027,79,0.09,0.048
obs028,31,0.012,0.014
obs029,91,0.332,0.1
obs030,91,0.11,0.059
obs031,91,-0.234,0.045
obs032,91,0.662,1
obs033,91,-0.497,1
obs034,78,0.02,0.067
obs035,80,0.234,0.023
obs036,81,0.523,0.053
obs037,94,0.343,0.071
obs038,94,0.07,0.042
obs039,94,0.131,0.013
obs040,3,0.182,0.053
obs041,3,0.332,0.045
obs042,3,0.365,0.022
obs043,3,-0.05,0.016
obs044,14,0.643,0.077
obs045,14,0.308,0.043
obs046,14,0.094,0.034
obs047,27,-0.448,0.125
obs048,27,0.354,0.037
obs049,27,0.236,0.026
obs050,27,0.299,0.013
obs051,35,0.203,0.03
obs052,35,0.035,0.011
obs053,54,0.02,0.029
obs054,62,0.028,0.04
obs055,87,0.224,0.077
obs056,87,0.234,0.033
obs057,87,0.172,0.022
obs058,87,0.213,0.018
obs059,87,0.141,0.016
obs060,87,0.121,0.012
obs061,87,0.144,0.003
obs062,11,0.343,0.025
obs063,51,0.508,0.25
obs064,51,0.404,0.167
obs065,51,0.499,0.083
obs066,51,0.601,0.022
obs067,95,0.355,0.029
obs068,96,0.172,0.011
obs069,96,0.249,0.01
obs070,96,0.204,0.01
obs071,97,0.266,0.026
obs072,97,0.09,0.006
obs073,99,0.709,0.02
obs074,55,0.316,0.024
obs075,55,0.159,0.016
obs076,55,0.241,0.015
obs077,34,0.371,0.111
obs078,34,0.619,0.111
obs079,34,0.342,0.077
obs080,34,0.589,0.024
obs081,34,0.324,0.009
obs082,34,0.442,0.007
obs083,49,0.334,0.043
obs084,49,0.365,0.037
obs085,49,0.271,0.033
obs086,49,0.218,0.011
obs087,30,0.412,0.007
obs088,2,0.122,0.037
obs089,43,0.678,0.167
obs090,43,0.365,0.029
obs091,48,0.412,0.333
obs092,48,0.31,0.111
obs093,49,0.097,0.02
obs094,88,-0.829,0.2
obs095,88,-0.06,0.143
obs096,88,-0.131,0.029
obs097,88,0.121,0.022
obs098,44,0.227,0.037
obs099,89,0.131,0.016
obs100,98,-0.07,0.2
obs101,98,0.255,0.083
obs102,98,-0.09,0.042
obs103,98,0.213,0.032
obs104,98,0.07,0.018
obs105,98,0.11,0.009
obs106,84,0.114,0.016
obs107,9,0.875,0.016
obs108,10,1.325,0.143
obs109,10,0.084,0.083
obs110,10,0.114,0.028
obs111,9,0.444,0.02
obs112,10,0.57,0.167
obs113,10,0.342,0.025
obs114,92,0.234,0.004
obs115,4,0.442,0.021
obs116,33,0.775,0.056
obs117,59,-0.1,0.5
obs118,59,-0.04,0.25
obs119,59,0.266,0.167
obs120,59,0.929,0.125
obs121,59,0.633,0.1
obs122,59,-0.412,0.053
obs123,59,0.618,0.036
obs124,59,-0.08,0.033
obs125,59,0.172,0.008
obs126,47,0.604,0.167
obs127,22,-0.379,0.053
obs128,22,-0.26,0.037
obs129,64,0.353,0.024
obs130,28,-0.132,0.021
obs131,70,0.105,0.5
obs132,70,0.838,0.5
obs133,70,1.576,0.2
obs134,70,-0.548,0.091
obs135,70,-0.098,0.059
obs136,70,0.168,0.059
obs137,70,0.08,0.056
obs138,70,0.097,0.048
obs139,70,0.296,0.021
obs140,25,0.182,0.016
obs141,26,0.288,0.045
obs142,26,0.02,0.02
obs143,26,0.151,0.016
obs144,26,0.172,0.015
obs145,32,0.378,0.025
obs146,19,0.472,0.167
obs147,24,1.003,0.333
obs148,24,0.215,0.167
obs149,85,0.518,1
obs150,93,-0.08,0.022
obs151,21,0.021,0.006
obs152,24,0.137,0.2
obs153,68,-0.036,0.01
obs154,1,0.617,0.125
obs155,8,0.984,0.02
obs156,47,0.618,0.077
obs157,15,0.081,0.004
obs158,29,0.063,0.004
obs159,83,0.277,0.002
obs160,74,0.189,0.019
obs161,74,0.199,0.018
obs162,74,0.448,0.009
obs163,76,-0.1,0.016
obs164,73,0.514,0.015
obs165,82,0.224,0.01
obs166,20,0.143,0.045
obs167,45,1.589,0.5
obs168,72,0.277,0.026
obs169,71,0.365,0.083
obs170,53,0.182,0.143
obs171,12,0.68,0.029
obs172,94,0.203,0.1
obs173,94,0.144,0.063
obs174,94,0.294,0.04
obs175,94,0.276,0.143
obs176,94,0.585,0.167
obs177,66,0.093,0.026
obs178,66,0.082,0.05
obs179,37,0.354,0.019
obs180,39,0.213,0.033
obs181,39,0.354,0.03
obs182,39,0.31,0.025
obs183,5,0.354,0.077
obs184,5,0.497,0.056
obs185,5,0.213,0.053
obs186,5,0.06,0.05
obs187,5,0.182,0.048
obs188,5,0.172,0.032
obs189,5,0.288,0.029
obs190,5,0.224,0.013
obs191,5,0.424,0.01
obs192,38,0.09,0.031
obs193,41,0.172,0.002
obs194,58,0.192,0.002
obs195,56,0.266,0.012
obs196,56,0.412,0.006
obs197,56,0.472,0.004
obs198,57,0.549,0.022
obs199,36,-0.263,0.077
obs200,36,0.071,0.071
obs201,36,-0.222,0.034
obs202,100,0.253,0.029
obs203,100,0.125,0.013
obs204,100,0.203,0.006
obs205,100,0.295,0.004
obs206,16,0.043,0.036
obs207,17,-0.31,0.5
obs208,17,1.214,0.333
obs209,17,-0.239,0.333
obs210,17,0.397,0.333
obs211,17,0.072,0.25
obs212,17,-0.462,0.25
obs213,17,-0.456,0.25
obs214,17,0.075,0.25
obs215,17,-0.428,0.2
obs216,17,-0.406,0.2
obs217,17,0.144,0.143
obs218,17,0.35,0.143
obs219,17,-0.124,0.143
obs220,17,-0.003,0.143
obs221,17,0.124,0.143
obs222,17,-0.174,0.143
obs223,60,0.295,0.026
obs224,60,0.354,0.016
obs225,60,0.106,0.005
obs226,60,0.243,0.003
obs227,60,0.269,0.002
obs228,60,0.274,0.001
obs229,77,0.08,0.013
obs230,86,0.573,0.125
obs231,86,0.45,0.077
obs232,86,0.709,0.056
obs233,86,0.533,0.022
obs234,87,0.549,0.028
obs235,87,0.354,0.026
obs236,87,0.11,0.017
obs237,87,0.377,0.014
obs238,87,0.33,0.004
obs239,101,-0.024,0.059
obs240,101,-0.073,0.056
obs241,101,0.281,0.056
obs242,50,-0.354,0.071
obs243,50,0.234,0.04
